REM Neural Network Connections List
From	To	  Weight   	               
 A  	AA	 -22.0495  	               
 B  	AA	 -75.7221  	               
 C  	AA	  -4.5301  	               
 D  	AA	 -0.076508 	               
 E  	AA	 -0.72781  	               
 F  	AA	 -40.1675  	               
 G  	AA	 -11.3248  	               
 H  	AA	  -1.9923  	               
 I  	AA	 0.021882  	               
 J  	AA	 -17.4994  	               
 K  	AA	  -5.2175  	               
 L  	AA	 -0.75215  	               
 M  	AA	   1.258   	               
 N  	AA	  -1.6571  	               
 O  	AA	  -1.3353  	               
 P  	AA	  0.31233  	               
 Q  	AA	 128.7114  	               
 R  	AA	 -0.099782 	               
 S  	AA	  -8.0031  	               
 T  	AA	  0.31625  	               
 U  	AA	  1.2087   	               
 V  	AA	 -37.0962  	               
 W  	AA	 -23.7095  	               
 X  	AA	 -0.13799  	               
 Y  	AA	  -0.2797  	               
 Z  	AA	  -14.498  	               
 A  	AB	  26.7656  	               
 B  	AB	 -0.81847  	               
 C  	AB	  -0.434   	               
 D  	AB	 -0.047435 	               
 E  	AB	  0.20827  	               
 F  	AB	  0.89279  	               
 G  	AB	 -0.11671  	               
 H  	AB	  0.42679  	               
 I  	AB	  0.9622   	               
 J  	AB	 -0.086063 	               
 K  	AB	  0.32277  	               
 L  	AB	  0.80514  	               
 M  	AB	  18.6208  	               
 N  	AB	 -0.71364  	               
 O  	AB	 -0.59778  	               
 P  	AB	  0.24195  	               
 Q  	AB	 239.1713  	               
 R  	AB	  -0.4862  	               
 S  	AB	 -0.26089  	               
 T  	AB	 -0.31152  	               
 U  	AB	 -0.13526  	               
 V  	AB	 -0.60755  	               
 W  	AB	  0.54239  	               
 X  	AB	 -0.79988  	               
 Y  	AB	  -3.1406  	               
 Z  	AB	  -0.7919  	               
 A  	AC	 -45.2267  	               
 B  	AC	  -6.2013  	               
 C  	AC	 -0.16124  	               
 D  	AC	  -14.07   	               
 E  	AC	  -0.3007  	               
 F  	AC	 -0.15309  	               
 G  	AC	 -0.59463  	               
 H  	AC	  0.19669  	               
 I  	AC	  -4.5816  	               
 J  	AC	 -0.53894  	               
 K  	AC	 -0.25908  	               
 L  	AC	 -0.020925 	               
 M  	AC	  -8.6269  	               
 N  	AC	 0.091812  	               
 O  	AC	  0.3948   	               
 P  	AC	 0.087674  	               
 Q  	AC	 -737.3031 	               
 R  	AC	 -0.59932  	               
 S  	AC	  0.82366  	               
 T  	AC	   -1.03   	               
 U  	AC	  0.99205  	               
 V  	AC	 -0.41816  	               
 W  	AC	 -0.82673  	               
 X  	AC	 -0.73301  	               
 Y  	AC	  90.3308  	               
 Z  	AC	  0.15763  	               
 A  	AD	 -0.37872  	               
 B  	AD	  -3.5815  	               
 C  	AD	  -8.0215  	               
 D  	AD	  -0.3766  	               
 E  	AD	 -0.36546  	               
 F  	AD	 -0.36887  	               
 G  	AD	  -1.4298  	               
 H  	AD	 -0.42454  	               
 I  	AD	  -3.6547  	               
 J  	AD	  -1.2299  	               
 K  	AD	 -0.14299  	               
 L  	AD	  0.41616  	               
 M  	AD	 -142.6031 	               
 N  	AD	  -2.0228  	               
 O  	AD	  -1.6521  	               
 P  	AD	  -0.5616  	               
 Q  	AD	 -360.1839 	               
 R  	AD	 -0.35796  	               
 S  	AD	  -2.068   	               
 T  	AD	 -0.51862  	               
 U  	AD	 -0.40415  	               
 V  	AD	 -0.64372  	               
 W  	AD	  -4.3976  	               
 X  	AD	 -0.88543  	               
 Y  	AD	 -24.1858  	               
 Z  	AD	  -4.554   	               
 A  	AE	 -337.2256 	               
 B  	AE	  0.29324  	               
 C  	AE	 -157.5093 	               
 D  	AE	-0.0028024 	               
 E  	AE	 -0.99544  	               
 F  	AE	 -0.82538  	               
 G  	AE	  3.1629   	               
 H  	AE	 -0.78856  	               
 I  	AE	  0.83477  	               
 J  	AE	   3.082   	               
 K  	AE	  6.3752   	               
 L  	AE	  0.41359  	               
 M  	AE	  5.4268   	               
 N  	AE	 -0.35073  	               
 O  	AE	   1.003   	               
 P  	AE	  0.10608  	               
 Q  	AE	  81.7722  	               
 R  	AE	  2.5081   	               
 S  	AE	 -101.884  	               
 T  	AE	  0.96262  	               
 U  	AE	 -0.64728  	               
 V  	AE	  0.89274  	               
 W  	AE	  0.96249  	               
 X  	AE	 -0.63556  	               
 Y  	AE	  7.3195   	               
 Z  	AE	 -0.50842  	               
 A  	AF	 -131.9288 	               
 B  	AF	  0.57855  	               
 C  	AF	 0.011565  	               
 D  	AF	 -0.36859  	               
 E  	AF	 -0.066222 	               
 F  	AF	  0.79055  	               
 G  	AF	  0.2995   	               
 H  	AF	  -0.4278  	               
 I  	AF	  0.43878  	               
 J  	AF	  0.84627  	               
