Epoch #	State	EMG Power 	EEG Power 	  Delta   	  Theta  	 Spindle 	  Sigma  	 Gamma  	  0-1Hz  	  1-2Hz  	  2-3Hz  	  3-4Hz  	  4-5Hz  	  5-6Hz  	  6-7Hz  	  7-8Hz  	  8-9Hz  	 9-10Hz  	10-11Hz 	11-12Hz 	12-13Hz 	13-14Hz 	14-15Hz 	15-16Hz 	16-17Hz 	17-18Hz 	18-19Hz 	19-20Hz 	20-21Hz 	21-22Hz 	22-23Hz 	23-24Hz 	24-25Hz	25-26Hz	26-27Hz	27-28Hz	28-29Hz	29-30Hz	30-31Hz	31-32Hz	32-33Hz	33-34Hz	34-35Hz	35-36Hz	36-37Hz	37-38Hz	38-39Hz	39-40Hz	40-41Hz	41-42Hz	42-43Hz	43-44Hz	44-45Hz	45-46Hz	46-47Hz	47-48Hz	48-49Hz	49-50Hz	50-51Hz	51-52Hz	52-53Hz	53-54Hz 	54-55Hz 	55-56Hz 	56-57Hz 	57-58Hz 	 58-59Hz 	 59-60Hz 	 60-61Hz 	 61-62Hz 	62-63Hz 	63-64Hz 	64-65Hz 	65-66Hz 	66-67Hz 	67-68Hz 	68-69Hz 	69-70Hz 	70-71Hz 	71-72Hz 	72-73Hz 	73-74Hz 	74-75Hz 	75-76Hz	76-77Hz	77-78Hz	78-79Hz	79-80Hz	80-81Hz	81-82Hz 	82-83Hz	83-84Hz	84-85Hz	85-86Hz	86-87Hz	87-88Hz	88-89Hz 	89-90Hz 	90-91Hz 	91-92Hz 	92-93Hz 	93-94Hz 	94-95Hz 	95-96Hz 	96-97Hz 	97-98Hz 	98-99Hz 	99-100Hz	
   1   	  1  	4068.0322 	6616.7356 	3525.2351 	1560.4197	1239.1472	453.1987 	122.7655	288.3426 	808.9322 	837.6695 	488.0245 	781.0731 	628.9553 	664.4482 	311.1517 	223.8282 	 260.594 	152.1746	118.7392	174.5462	118.0203	95.6014 	59.9597 	 77.967 	85.2586 	38.2102 	52.2752 	29.2757 	23.1661 	19.6396 	10.3711 	29.5864	16.7902	16.3425	24.027 	13.9441	10.9738	11.0239	10.4157	10.8651	 9.319 	8.2554 	5.4324 	12.1925	9.2289 	4.7114 	4.4875 	6.1538 	5.9185 	4.5802 	3.5336 	2.9679 	2.0502 	2.4707 	3.8978 	2.9834 	1.7799 	1.0249 	0.65712	0.80565	0.38244 	0.42989 	0.33703 	0.26935 	0.10192 	0.057905 	0.024848 	0.055998 	0.045698 	0.04843 	0.11246 	0.095057	0.20845 	0.24685 	0.37913 	0.30754 	0.27701 	0.46502 	0.49456 	0.30016 	0.36585 	0.69022 	0.40204	0.40135	0.35666	0.61216	0.49757	0.69532	0.74672 	0.43441	0.62445	0.98418	1.0245 	0.73071	0.76143	0.68916 	0.48859 	0.62505 	 1.0146 	0.62776 	0.44089 	0.72858 	0.76215 	0.27487 	0.74072 	0.79266 	0.44117 	
   2   	  1  	          	          	          	         	         	         	        	         	         	         	         	         	         	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	        	        	        	        	        	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	        	       	       	       	       	       	       	        	        	        	        	        	        	        	        	        	        	        	        	
   3   	  1  	          	          	          	         	         	         	        	         	         	         	         	         	         	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	        	        	        	        	        	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	        	       	       	       	       	       	       	        	        	        	        	        	        	        	        	        	        	        	        	
   4   	  1  	          	          	          	         	         	         	        	         	         	         	         	         	         	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	        	        	        	        	        	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	        	       	       	       	       	       	       	        	        	        	        	        	        	        	        	        	        	        	        	
   5   	  1  	          	          	          	         	         	         	        	         	         	         	         	         	         	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	        	        	        	        	        	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	        	       	       	       	       	       	       	        	        	        	        	        	        	        	        	        	        	        	        	
   6   	  1  	          	          	          	         	         	         	        	         	         	         	         	         	         	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	        	        	        	        	        	         	         	         	         	        	        	        	        	        	        	        	        	        	        	        	        	        	       	       	       	       	       	       	        	       	       	       	       	       	       	        	        	        	        	        	        	        	        	        	        	        	        	
   7   	  1  	5486.5855 	5257.9674 	2256.8345 	1552.2741	1316.5976	416.1353 	142.9422	297.2994 	 301.269 	539.2424 	416.1078 	490.1682 	583.1522 	580.6262 	187.8274 	341.6469 	332.3966 	160.0164	163.2088	100.2608	74.5437 	47.2658 	59.0263 	61.1196 	27.4107 	29.6581 	34.2846 	31.4399 	31.9434 	25.3772 	31.2978 	32.5927	17.9336	24.129 	22.4452	19.9491	15.392 	17.0138	10.2753	8.7715 	11.7913	6.9065 	8.6178 	9.5625 	5.5159 	4.8581 	11.9612	5.9907 	 6.604 	5.4151 	10.402 	5.0933 	5.5662 	2.1442 	1.8601 	2.3549 	1.6623 	1.1108 	 1.688 	0.87423	0.41419 	0.35906 	0.39926 	0.11633 	0.07128 	0.049069 	0.020015 	0.035458 	0.039397 	0.090282	0.10092 	0.068581	0.16147 	0.26656 	0.23257 	0.42129 	0.44624 	0.20977 	0.44734 	0.62328 	0.43093 	0.65961 	0.81485	0.7728 	0.46409	0.75886	0.61801	0.61011	0.58738 	0.7158 	0.70312	0.8019 	0.9428 	0.60682	0.80229	0.61734 	0.43156 	0.40823 	 0.6739 	0.25769 	0.42617 	0.37103 	0.48588 	 0.8569 	 1.1425 	0.70273 	0.47402 	
   8   	  1  	5879.7191 	4952.1813 	2053.1235 	1441.8139	1423.5737	418.8076 	135.6369	468.9682 	517.0821 	284.5712 	278.2202 	360.7948 	479.8769 	238.1601 	338.1582 	346.3028 	367.0248 	287.4105	111.4416	139.6269	67.1161 	 63.42  	22.6498 	50.4338 	41.2405 	48.3932 	38.2422 	28.6335 	47.3065 	17.6385 	13.0839 	28.1825	23.6261	15.7417	17.5527	21.7991	20.2498	13.1502	12.7489	10.1335	6.2485 	11.359 	11.1967	7.2023 	5.8727 	6.7378 	6.9251 	3.4371 	4.5175 	7.9343 	 5.687 	4.4441 	4.8968 	3.6615 	4.0409 	 2.524 	1.9803 	2.2479 	0.9216 	1.5364 	0.59943 	0.40475 	0.58411 	0.19948 	0.084654	0.032149 	0.010211 	0.027645 	0.070954 	0.11066 	0.11876 	0.087419	0.16212 	0.26321 	0.30026 	0.35018 	0.39436 	0.41685 	0.47716 	0.50769 	0.67238 	0.47644 	0.63562	0.55355	0.40513	0.61733	0.71201	0.54758	0.96419 	0.7721 	1.0026 	1.0129 	0.8485 	0.4781 	0.78109	 0.403  	0.69646 	0.54364 	0.34056 	0.44588 	0.47626 	0.36531 	0.59041 	0.40749 	0.27373 	0.35247 	0.53996 	
   9   	  1  	2831.0107 	5396.5385 	2153.6151 	1719.3045	1269.5153	525.9446 	144.7465	273.8782 	394.6308 	450.4311 	407.4899 	442.3883 	460.9237 	312.1655 	727.0914 	422.7577 	214.7833 	115.781 	128.0863	106.1147	89.4292 	76.7063 	 78.66  	 65.284 	79.9439 	68.8362 	43.9324 	26.1236 	 38.521 	33.9872 	34.8514 	25.0895	22.1414	21.8108	25.4789	20.1564	13.6088	11.7632	12.3485	10.2971	16.1459	17.6761	6.8971 	9.2084 	13.0022	7.2228 	5.0652 	4.8015 	 3.547 	6.4014 	 3.598 	3.7345 	4.6407 	2.7041 	1.8375 	2.1604 	1.0708 	1.4259 	1.6996 	0.66057	0.39171 	0.55764 	0.40897 	0.094613	0.049341	0.029275 	0.021326 	0.033585 	0.031465 	0.04325 	0.087351	0.16094 	0.14925 	0.23993 	0.21083 	0.28353 	 0.4521 	0.32074 	0.36908 	0.73536 	0.51059 	0.44233 	0.59657	0.64407	0.59401	0.86074	0.5627 	0.62654	0.53202 	0.43892	0.38673	0.71232	0.68645	0.78164	0.37361	0.41349 	 0.364  	0.54934 	0.40279 	0.41194 	0.50765 	0.62864 	 0.3984 	0.63823 	0.45367 	 0.278  	0.29017 	
  10   	  1  	3716.4468 	5409.2375 	2578.3275 	1490.862 	1221.9633	416.9323 	147.7713	280.5857 	977.3245 	437.0903 	349.3302 	366.3651 	428.7766 	478.3342 	317.5658 	 287.975 	 333.504 	158.7431	111.0721	125.2197	70.7753 	 38.121 	54.2685 	72.5516 	35.6386 	26.2561 	41.7947 	33.2281 	 37.034 	27.1115 	22.6851 	24.2442	20.3474	26.609 	9.0641 	19.5219	17.7589	6.7253 	15.5568	17.107 	9.8439 	 7.15  	11.4285	10.0788	10.866 	11.4867	5.5206 	3.4435 	4.9903 	 4.239 	3.6285 	3.7783 	4.5541 	4.5684 	4.9036 	3.1314 	3.9711 	1.2302 	1.2516 	0.73393	0.49773 	0.42608 	0.26616 	0.18477 	0.087267	0.063639 	0.022165 	0.031537 	0.031231 	0.069198	0.084922	0.18388 	0.22118 	0.23762 	0.29314 	0.43537 	0.42585 	 0.5361 	0.44954 	0.64568 	0.87018 	0.47643 	0.30601	0.72491	0.40726	0.90071	0.71437	0.51794	0.40801 	0.34456	0.79534	0.58907	0.54992	1.0427 	0.51916	0.65711 	0.37274 	0.65087 	0.60092 	0.65356 	0.42163 	0.30949 	0.41514 	0.40181 	0.52423 	0.52529 	0.67056 	
